order_id,order_date,customer_id,sku,product,category,region,units,unit_price,discount
O-1001,2026-01-03,C001,Q-101,Canvas Tote,Accessories,North,4,38.00,0.05
O-1002,2026-01-04,C004,Q-103,Desk Lamp,Home,West,2,86.00,0.00
O-1003,2026-01-06,C007,Q-106,Mechanical Pencil,Stationery,East,12,12.00,0.10
O-1004,2026-01-08,C002,Q-104,Modular Shelf,Home,South,1,145.00,0.00
O-1005,2026-01-09,C009,Q-108,Cable Kit,Electronics,North,5,48.00,0.05
O-1006,2026-01-12,C005,Q-102,Field Notebook,Stationery,West,8,18.00,0.00
O-1007,2026-01-14,C003,Q-107,Linen Throw,Home,East,3,74.00,0.08
O-1008,2026-01-15,C010,Q-105,Travel Mug,Accessories,South,6,32.00,0.05
O-1009,2026-01-18,C006,Q-109,Portable Stand,Electronics,North,3,65.00,0.00
O-1010,2026-01-20,C008,Q-110,Storage Tray,Home,West,4,42.00,0.12
O-1011,2026-02-02,C001,Q-104,Modular Shelf,Home,North,2,145.00,0.07
O-1012,2026-02-04,C002,Q-102,Field Notebook,Stationery,South,10,18.00,0.05
O-1013,2026-02-07,C003,Q-108,Cable Kit,Electronics,East,6,48.00,0.00
O-1014,2026-02-09,C004,Q-101,Canvas Tote,Accessories,West,7,38.00,0.10
O-1015,2026-02-12,C005,Q-109,Portable Stand,Electronics,West,2,65.00,0.00
O-1016,2026-02-14,C006,Q-103,Desk Lamp,Home,North,4,86.00,0.05
O-1017,2026-02-17,C007,Q-110,Storage Tray,Home,East,5,42.00,0.00
O-1018,2026-02-19,C008,Q-106,Mechanical Pencil,Stationery,West,20,12.00,0.15
O-1019,2026-02-22,C009,Q-107,Linen Throw,Home,North,2,74.00,0.00
O-1020,2026-02-25,C010,Q-104,Modular Shelf,Home,South,3,145.00,0.10
O-1021,2026-03-02,C001,Q-105,Travel Mug,Accessories,North,9,32.00,0.08
O-1022,2026-03-04,C004,Q-109,Portable Stand,Electronics,West,5,65.00,0.05
O-1023,2026-03-07,C007,Q-102,Field Notebook,Stationery,East,15,18.00,0.12
O-1024,2026-03-10,C002,Q-108,Cable Kit,Electronics,South,4,48.00,0.00
O-1025,2026-03-12,C009,Q-103,Desk Lamp,Home,North,3,86.00,0.06
O-1026,2026-03-15,C005,Q-101,Canvas Tote,Accessories,West,6,38.00,0.00
O-1027,2026-03-18,C003,Q-110,Storage Tray,Home,East,7,42.00,0.05
O-1028,2026-03-21,C010,Q-107,Linen Throw,Home,South,4,74.00,0.10
O-1029,2026-03-24,C006,Q-104,Modular Shelf,Home,North,1,145.00,0.00
O-1030,2026-03-27,C008,Q-106,Mechanical Pencil,Stationery,West,18,12.00,0.05
